,full_name,rating,jersey,team,position,b_day,height_in_m,weight_in_kg,salary,country,draft_year,draft_round,draft_peak,college,current_age,year_played,body_mass_index,bmi_class,attended_college
386,Keita Bates-Diop,70,#0,Denver Nuggets,F,1/23/1996,2.03,106.6,1416852,USA,2018,2,48,Ohio State,25,3,25.9,Overweight,0
387,Darius Bazley,70,#7,Oklahoma City Thunder,F,6/12/2000,2.03,90.7,2284800,USA,2019,1,23,,20,1,22,Normal,1
388,Tony Bradley,70,#13,Utah Jazz,F-C,1/8/1998,2.08,112.5,1962360,USA,2017,1,28,North Carolina,23,4,26,Overweight,0
389,Hamidou Diallo,70,#6,Oklahoma City Thunder,G,7/31/1998,1.96,89.8,1416852,USA,2018,2,45,Kentucky,22,2,23.4,Normal,0
390,Melvin Frazier,70,#35,Orlando Magic,F,8/30/1996,1.96,91.2,1416852,USA,2018,2,35,Tulane,24,2,23.7,Normal,0
391,Solomon Hill,70,#44,Miami Heat,F,3/18/1991,1.98,102.5,13290395,USA,2013,1,23,Arizona,30,8,26.1,Overweight,0
392,Alize Johnson,70,#24,Indiana Pacers,F,4/26/1996,2.01,91.2,1416852,USA,2018,2,50,Missouri State,24,2,22.6,Normal,0
393,Skal Labissiere,70,#0,Atlanta Hawks,C-F,3/18/1996,2.08,98,2338846,Haiti,2016,1,28,Kentucky,25,5,22.7,Normal,0
394,Tyler Lydon,70,#0,,F-C,4/9/1996,2.06,99.8,50000,USA,2017,1,24,Syracuse,25,4,23.5,Normal,0
395,Sviatoslav Mykhailiuk,70,#19,Detroit Pistons,G,6/10/1997,2.01,93,1416852,Ukraine,2018,2,47,Kansas,23,2,23,Normal,0
396,Johnathan Motley,70,#15,Los Angeles Clippers,F,5/4/1995,2.03,104.3,79568,USA,2017,0,0,Baylor,25,3,25.3,Overweight,0
397,Abdel Nader,70,#11,Oklahoma City Thunder,F,9/25/1993,1.96,102.1,1618520,Egypt,2016,2,58,Iowa State,27,4,26.6,Overweight,0
398,Miles Plumlee,70,#0,,F-C,9/1/1988,2.11,115.7,12500000,USA,2012,1,26,Duke,32,8,26,Overweight,0
399,Caleb Swanigan,70,#50,Portland Trail Blazers,C,4/18/1997,2.06,112.9,2033160,USA,2017,1,26,Purdue,23,3,26.6,Overweight,0
400,Jarred Vanderbilt,70,#0,Minnesota Timberwolves,F,4/3/1999,2.06,97.1,1416852,USA,2018,2,41,Kentucky,22,3,22.9,Normal,0
